match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20220310-W-Indian_Wells-R128-Naomi_Osaka-Sloane_Stephens,Naomi Osaka,Sloane Stephens,R,R,W,20220310,Indian Wells,R128,15:40,Stadium 1,Hard,Juan Zhang,3,1,Zindaras
20220310-W-Indian_Wells-R128-Marta_Kostyuk-Maryna_Zanevska,Marta Kostyuk,Maryna Zanevska,R,R,W,20220310,Indian Wells,R128,,,Hard,,3,1,Zindaras
20220309-W-Indian_Wells-R128-Ekaterina_Alexandrova-Elvina_Kalieva,Ekaterina Alexandrova,Elvina Kalieva,R,R,W,20220309,Indian Wells,R128,,Stadium 6,Hard,Ana Cabalho,3,1,Zindaras
20220309-W-Indian_Wells-R128-Clara_Burel-Anhelina_Kalinina,Clara Burel,Anhelina Kalinina,R,R,W,20220309,Indian Wells,R128,,,Hard,,3,1,Elephant
20220306-W-Lyon-F-Dayana_Yastremska-Shuai_Zhang,Dayana Yastremska,Shuai Zhang,R,R,W,20220306,Lyon,F,15:10,Court Central,Hard,Marta Mrozinska,3,1,Zindaras
20220304-W-Monterrey-QF-Sara_Sorribes_Tormo-Nuria_Parrizas_Diaz,Sara Sorribes Tormo,Nuria Parrizas Diaz,R,R,W,20220304,Monterrey,QF,16:00,,Hard,Fabio Souza,3,1,Zindaras
20220302-W-Monterrey-R32-Anastasia_Potapova-Elina_Svitolina,Anastasia Potapova,Elina Svitolina,R,R,W,20220302,Monterrey,R32,,Centre Court,Hard,Paula Vieira Souza,3,1,Zindaras
20220301-W-Lyon-R32-Danka_Kovinic-Arantxa_Rus,Danka Kovinic,Arantxa Rus,R,L,W,20220301,Lyon,R32,14:10,1,Hard,,3,1,Zindaras
20220228-W-Monterrey-R32-Emma_Navarro-Marcela_Zacarias,Emma Navarro,Marcela Zacarias,R,R,W,20220228,Monterrey,R32,,Centre Court,Hard,Morgane Lara,3,1,Zindaras
20220226-W-Doha-F-Anett_Kontaveit-Iga_Swiatek,Anett Kontaveit,Iga Swiatek,R,R,W,20220226,Doha,F,18:10,Center,Hard,Marija Cicak,3,1,Zindaras
20220225-W-Doha-SF-Iga_Swiatek-Maria_Sakkari,Iga Swiatek,Maria Sakkari,R,R,W,20220225,Doha,SF,,,Hard,Kader Nouni,3,1,Elephant
20220225-W-Doha-SF-Anett_Kontaveit-Jelena_Ostapenko,Anett Kontaveit,Jelena Ostapenko,R,R,W,20220225,Doha,SF,,,Hard,Miriam Bley,3,1,Elephant
20220224-W-Doha-QF-Anett_Kontaveit-Ons_Jabeur,Anett Kontaveit,Ons Jabeur,R,R,W,20220224,Doha,QF,,,Hard,Mohamed Lahyani,3,1,Elephant
20220223-W-Doha-R16-Iga_Swiatek-Daria_Kasatkina,Iga Swiatek,Daria Kasatkina,R,R,W,20220223,Doha,R16,,,Hard,Ali Katebi,3,1,Elephant
20220223-W-Doha-R16-Anett_Kontaveit-Elise_Mertens,Anett Kontaveit,Elise Mertens,R,R,W,20220223,Doha,R16,,,Hard,Timo Janzen,3,1,Elephant
20220222-W-Doha-R32-Paula_Badosa-Clara_Tauson,Paula Badosa,Clara Tauson,R,R,W,20220222,Doha,R32,,,Hard,Marija Cicak,3,1,Elephant
20220222-W-Doha-R32-Iga_Swiatek-Viktorija_Golubic,Iga Swiatek,Viktorija Golubic,R,R,W,20220222,Doha,R32,,,Hard,,3,1,Elephant
20220221-W-Guadalajara-R32-Brenda_Fruhvirtova-Sloane_Stephens,Brenda Fruhvirtova,Sloane Stephens,R,R,W,20220221,Guadalajara,R32,,,Hard,Yamila Halle,3,1,Elephant
20220221-W-Doha-R32-Anett_Kontaveit-Ana_Konjuh,Anett Kontaveit,Ana Konjuh,R,R,W,20220221,Doha,R32,,,Hard,Katarzyna Radwan-Cho,3,1,Elephant
20220220-W-Doha-R64-Yulia_Putintseva-Victoria_Azarenka,Yulia Putintseva,Victoria Azarenka,R,R,W,20220220,Doha,R64,19:20,,Hard,Marija Cicak,3,1,Zindaras
20220220-W-Doha-R64-Belinda_Bencic-Clara_Tauson,Belinda Bencic,Clara Tauson,R,R,W,20220220,Doha,R64,,,Hard,Kader Nouni,3,1,Elephant
20220214-W-Dubai-R32-Iga_Swiatek-Daria_Kasatkina,Iga Swiatek,Daria Kasatkina,R,R,W,20220214,Dubai,R32,,,Hard,Cecilia Alberti,3,1,Elephant
20220213-W-St_Petersburg-F-Anett_Kontaveit-Maria_Sakkari,Anett Kontaveit,Maria Sakkari,R,R,W,20220213,St Petersburg,F,,,Hard,Pierre Bacchi,3,1,Elephant
20220213-W-ITF_Tucuman-F-Brenda_Fruhvirtova-Paula_Ormaechea,Brenda Fruhvirtova,Paula Ormaechea,R,R,W,20220213,ITF Tucuman,F,,,Clay,,3,1,Elephant
