match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,serve_return,shots_in_pts_won,shots_in_pts_lost
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,F,101,15,6,6,3,16,66,35
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,B,90,8,2,2,4,20,56,34
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,S,7,0,0,0,0,0,4,3
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Y,2,0,0,0,0,0,2,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,M,4,1,1,0,0,1,3,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,V,1,1,1,0,0,0,1,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Z,1,1,1,0,0,0,1,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,O,1,0,0,0,0,0,1,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,J,1,1,1,0,0,0,1,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,K,1,1,1,0,0,0,1,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Total,220,48,11,9,28,39,81,139
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Fside,117,27,6,7,14,15,45,72
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Bside,103,21,5,2,14,24,36,67
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Fgs,113,25,5,7,13,15,44,69
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Bgs,100,20,5,1,14,24,35,65
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Base,217,45,10,8,27,39,79,138
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Net,3,3,1,1,1,0,2,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Gs,210,45,10,8,27,39,79,131
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Lo,4,0,0,0,0,0,0,4
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Vo,1,1,0,1,0,0,1,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Sw,2,2,1,0,1,0,1,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,F,112,25,5,7,13,15,44,68
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,B,98,20,5,1,14,24,35,63
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,R,1,0,0,0,0,0,0,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,S,2,0,0,0,0,0,0,2
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,L,2,0,0,0,0,0,0,2
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,M,2,0,0,0,0,0,0,2
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Z,1,1,0,1,0,0,1,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,J,2,2,1,0,1,0,1,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Total,211,55,14,8,33,41,90,121
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Fside,131,39,11,6,22,22,59,72
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Bside,80,16,3,2,11,19,31,49
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Fgs,129,37,10,6,21,22,58,71
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Bgs,80,16,3,2,11,19,31,49
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Base,209,53,13,8,32,41,89,120
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Net,2,2,1,0,1,0,1,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Gs,207,53,13,8,32,40,88,119
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Ov,1,1,0,0,1,0,0,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Sw,1,1,1,0,0,0,1,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,F,128,37,10,6,21,21,58,70
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,B,79,16,3,2,11,19,30,49
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,R,1,0,0,0,0,1,0,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,S,1,0,0,0,0,0,1,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,O,1,1,0,0,1,0,0,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,J,1,1,1,0,0,0,1,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,Total,198,28,7,6,15,42,111,87
