match_id,row,pts,pts_won,rally_winners,rally_forced,unforced
20130118-W-Australian_Open-R32-Victoria_Azarenka-Jamie_Hampton,RTotal1,41,19,4,3,6
20130118-W-Australian_Open-R32-Victoria_Azarenka-Jamie_Hampton,RTotal2,40,14,5,1,11
20130123-W-Australian_Open-QF-Svetlana_Kuznetsova-Victoria_Azarenka,BPO1,4,2,0,0,0
20130123-W-Australian_Open-QF-Svetlana_Kuznetsova-Victoria_Azarenka,BPO2,10,6,1,0,0
20130123-W-Australian_Open-QF-Svetlana_Kuznetsova-Victoria_Azarenka,GPF1,28,21,5,7,2
20130123-W-Australian_Open-QF-Svetlana_Kuznetsova-Victoria_Azarenka,GPF2,18,14,3,2,1
20130123-W-Australian_Open-QF-Svetlana_Kuznetsova-Victoria_Azarenka,DeuceR1,19,2,1,0,5
20130123-W-Australian_Open-QF-Svetlana_Kuznetsova-Victoria_Azarenka,DeuceR2,17,5,0,2,1
20130123-W-Australian_Open-QF-Svetlana_Kuznetsova-Victoria_Azarenka,RTotal1,51,25,6,7,7
20130123-W-Australian_Open-QF-Svetlana_Kuznetsova-Victoria_Azarenka,RTotal2,45,25,4,4,2
20130115-W-Australian_Open-R128-Victoria_Azarenka-Monica_Niculescu,BPO1,8,5,1,1,1
20130115-W-Australian_Open-R128-Victoria_Azarenka-Monica_Niculescu,BPO2,6,2,1,0,2
20130115-W-Australian_Open-R128-Victoria_Azarenka-Monica_Niculescu,GPF1,7,4,2,0,0
20130115-W-Australian_Open-R128-Victoria_Azarenka-Monica_Niculescu,GPF2,12,5,2,0,2
20130115-W-Australian_Open-R128-Victoria_Azarenka-Monica_Niculescu,DeuceR1,3,2,1,0,1
20130115-W-Australian_Open-R128-Victoria_Azarenka-Monica_Niculescu,DeuceR2,8,1,0,0,4
20130115-W-Australian_Open-R128-Victoria_Azarenka-Monica_Niculescu,RTotal1,18,11,4,1,2
20130115-W-Australian_Open-R128-Victoria_Azarenka-Monica_Niculescu,RTotal2,26,8,3,0,8
20130124-W-Australian_Open-SF-Sloane_Stephens-Victoria_Azarenka,BPO1,6,3,2,0,0
20130124-W-Australian_Open-SF-Sloane_Stephens-Victoria_Azarenka,BPO2,11,7,1,0,0
20130124-W-Australian_Open-SF-Sloane_Stephens-Victoria_Azarenka,GPF1,15,10,1,1,2
20130124-W-Australian_Open-SF-Sloane_Stephens-Victoria_Azarenka,GPF2,14,12,1,1,1
20130124-W-Australian_Open-SF-Sloane_Stephens-Victoria_Azarenka,DeuceR1,13,6,2,1,3
20130124-W-Australian_Open-SF-Sloane_Stephens-Victoria_Azarenka,DeuceR2,13,5,3,1,2
