match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,2,NetPoints,4,2,1,0,1,0,1,20
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,2,Approach,4,2,1,0,1,0,1,20
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,2,NetPointsRallies,3,1,1,0,1,0,1,19
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,2,ApproachRallies,3,1,1,0,1,0,1,19
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,1,NetPoints,16,13,11,2,2,0,0,86
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,1,Approach,1,0,0,0,0,0,0,3
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,1,NetPointsRallies,16,13,11,2,2,0,0,86
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,1,ApproachRallies,1,0,0,0,0,0,0,3
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,2,NetPoints,7,4,1,2,1,1,0,42
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,2,Approach,2,1,0,1,0,0,0,8
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,2,NetPointsRallies,7,4,1,2,1,1,0,42
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,2,ApproachRallies,2,1,0,1,0,0,0,8
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,1,NetPoints,6,5,3,2,0,0,0,48
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,1,Approach,5,4,2,2,0,0,0,43
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,1,NetPointsRallies,6,5,3,2,0,0,0,48
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,1,ApproachRallies,5,4,2,2,0,0,0,43
