match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,wide,body,t
20250521-M-Geneva-R16-Hubert_Hurkacz-Arthur_Rinderknech,Arthur Rinderknech,1,28,21,3,0,8,15,11,2,15
20250521-M-Geneva-R16-Hubert_Hurkacz-Arthur_Rinderknech,Arthur Rinderknech,2,19,6,0,0,0,4,10,2,7
20250520-M-Geneva-R32-Hubert_Hurkacz-Arthur_Cazaux,Hubert Hurkacz,Total,61,40,3,0,10,21,27,5,29
20250520-M-Geneva-R32-Hubert_Hurkacz-Arthur_Cazaux,Hubert Hurkacz,1,35,23,3,0,10,15,16,1,18
20250520-M-Geneva-R32-Hubert_Hurkacz-Arthur_Cazaux,Hubert Hurkacz,2,26,17,0,0,0,6,11,4,11
20250520-M-Geneva-R32-Hubert_Hurkacz-Arthur_Cazaux,Arthur Cazaux,Total,49,30,5,0,7,19,21,14,14
20250520-M-Geneva-R32-Hubert_Hurkacz-Arthur_Cazaux,Arthur Cazaux,1,32,21,5,0,7,13,18,4,10
20250520-M-Geneva-R32-Hubert_Hurkacz-Arthur_Cazaux,Arthur Cazaux,2,17,9,0,0,0,6,3,10,4
20250518-M-Rome_Masters-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,Total,58,35,1,13,0,20,26,9,23
20250518-M-Rome_Masters-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,1,35,25,1,12,0,15,20,1,14
20250518-M-Rome_Masters-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,2,23,10,0,1,0,5,6,8,9
20250518-M-Rome_Masters-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,Total,75,51,4,11,0,26,49,4,22
20250518-M-Rome_Masters-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,1,48,35,4,10,0,19,35,3,10
20250518-M-Rome_Masters-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,2,27,16,0,1,0,7,14,1,12
20250516-M-Rome_Masters-SF-Tommy_Paul-Jannik_Sinner,Tommy Paul,Total,74,40,0,0,8,16,34,30,10
20250516-M-Rome_Masters-SF-Tommy_Paul-Jannik_Sinner,Tommy Paul,1,58,33,0,0,8,14,30,19,9
20250516-M-Rome_Masters-SF-Tommy_Paul-Jannik_Sinner,Tommy Paul,2,16,7,0,0,0,2,4,11,1
